id,ClassId
6715,12
4436,8
6459,10
4739,5
2719,10
190,13
5922,31
1906,3
291,1
6984,38
7019,12
641,9
3582,5
1729,13
5119,17
1551,11
6412,17
1510,25
3633,8
734,1
6347,17
469,38
1377,38
2828,1
3247,38
3094,1
4517,29
6667,13
4425,8
4007,12
2711,23
2724,10
3608,11
1617,1
435,9
1869,38
952,3
5764,7
2359,2
6124,12
1389,38
6543,2
280,11
1672,11
4784,11
6484,25
6162,13
1473,1
253,13
1504,5
5924,4
3872,12
4458,25
5683,35
249,8
4197,6
3145,1
4918,17
5527,8
4573,38
5718,8
2438,35
5524,9
118,2
2852,10
7581,10
1228,4
4747,35
627,2
4441,12
7216,31
1571,17
2027,11
6419,1
130,5
2999,9
648,13
1363,1
6917,1
2308,35
7302,17
7699,1
5367,1
234,5
428,17
824,25
3744,1
2815,25
752,12
2816,9
1638,40
1077,25
3424,18
4085,21
3167,1
2565,10
4064,38
572,13
664,1
2248,16
6874,11
3211,4
2966,35
4238,2
6452,1
6076,5
338,25
2868,11
2806,1
2904,9
597,34
2329,14
5639,2
4143,2
4386,1
2869,38
3773,13
2790,11
4522,2
5072,2
4756,4
5755,26
6390,17
1412,1
7134,38
5497,4
1776,9
1554,38
4855,10
5934,11
7726,1
6757,6
5120,5
1920,13
6593,12
1247,2
720,7
4457,38
6301,13
1856,2
2468,33
6796,5
5046,36
1276,36
5105,2
6202,1
6180,1
5906,8
6393,5
7612,11
2175,10
7470,10
3128,13
3936,11
2368,2
2947,10
754,1
6029,35
6764,13
7226,4
7841,7
2036,17
2840,10
273,9
3179,20
4372,10
7185,38
516,5
5320,8
3674,11
4233,8
2693,18
5295,11
3182,1
5897,38
5678,18
254,9
3262,3
1778,18
645,13
5427,12
2249,10
5000,13
7656,5
3249,1
2060,1
7815,2
3557,12
3080,33
300,11
554,5
2114,25
4838,8
4239,1
1977,17
6134,12
3607,38
1942,20
53,34
6810,13
7176,12
6544,13
4769,12
5865,2
7077,10
5019,13
3112,5
7460,1
6876,10
6541,12
5745,26
4237,4
4111,7
743,39
2269,8
4470,12
4081,5
4210,38
5589,12
6903,5
6361,2
7137,8
6549,9
3895,7
5861,9
3477,1
2625,1
4601,10
2323,11
2701,10
5054,1
7441,1
804,1
6734,9
569,1
6635,13
903,2
3386,1
3565,3
4999,10
7807,25
2252,5
2334,29
7158,9
6337,25
517,9
3734,2
6535,25
3428,2
7253,18
2065,17
6253,4
6364,2
4421,13
2075,11
3810,9
4554,38
6717,1
1988,2
168,12
5229,4
595,2
3826,33
1331,2
3833,1
1578,38
6272,25
3974,10
2667,26
4544,4
6224,1
6941,11
5286,10
687,1
3631,11
7823,2
1890,11
1099,38
2287,10
6821,25
5411,11
2956,11
6857,8
2814,7
738,10
419,11
7067,8
6466,9
6421,17
1403,33
3938,23
568,1
7723,17
497,10
1524,4
5306,26
2572,5
4181,9
5929,10
6504,11
1769,5
7095,25
2796,1
4827,9
2246,17
7806,17
6698,38
1189,11
7192,30
3473,13
4706,1
817,1
3517,13
6283,12
1673,38
7769,8
4849,12
3129,1
4176,2
3174,17
2055,25
3730,10
5573,12
7014,17
6665,2
110,10
1711,17
2738,38
1780,8
7695,25
193,13
1951,9
5239,38
3422,12
2280,10
7232,25
4112,10
4995,13
5469,10
7339,5
408,12
7194,1
5474,10
9,2
4462,14
3071,12
2410,11
3020,13
4751,2
3547,1
6461,12
7099,4
6004,2
6782,35
2369,38
7463,4
1215,5
4792,12
3255,9
2654,1
7087,12
7389,9
4054,12
2099,2
6438,9
3745,13
6492,9
331,12
6128,12
5176,20
5679,13
5575,13
4161,11
1676,12
3117,7
665,38
3306,38
600,10
7693,1
7172,12
4797,4
1130,30
5784,38
5436,8
7489,12
3863,9
6794,1
1489,13
6683,7
5042,5
7141,9
6669,8
1703,8
24,8
2524,8
783,1
3884,26
6446,5
4545,39
5557,10
244,35
5219,9
7386,38
565,26
6508,9
4640,35
570,10
557,25
7322,32
7622,40
7084,5
892,14
4611,12
957,4
3,13
765,4
4403,13
749,1
7256,7
7058,38
84,13
4073,3
6624,8
5335,1
7396,38
3038,25
5808,12
3172,38
3188,4
2318,2
4319,2
2458,11
5060,11
7299,10
3909,11
7744,16
7051,10
4740,33
2706,5
930,5
4193,38
7309,42
6297,25
1950,9
6789,14
346,25
4256,1
6958,2
1786,10
2453,18
1052,14
6839,6
464,8
7582,9
36,23
3562,13
2389,25
7240,2
672,25
5181,7
5361,2
220,1
6048,8
4352,38
5787,4
4384,10
6806,10
6640,2
2447,5
4131,17
4231,38
6501,9
2159,35
791,4
3218,25
2808,12
4843,38
6225,11
223,8
5362,4
3480,14
2069,12
7002,36
730,25
474,13
3688,7
6248,10
1101,13
7059,25
7472,25
898,12
4152,25
3751,25
328,9
3686,26
5899,18
662,12
7487,10
5579,3
1332,10
7741,11
5371,12
1023,38
1817,9
5610,11
6465,11
1431,10
7355,5
329,35
436,12
149,3
3812,38
7501,13
405,10
7425,8
6209,9
2402,10
3687,33
2887,2
7743,11
750,1
3085,7
2198,1
1570,23
7261,10
4169,2
3531,1
1854,28
2045,2
3668,10
424,13
4314,18
5152,12
2,1
3315,40
4851,10
3655,10
4518,1
4664,10
7285,35
3929,25
4787,4
7273,9
3666,25
7138,18
1557,40
1036,4
7636,38
6962,12
5652,10
2975,10
6580,38
1606,2
5014,38
3919,24
928,31
5816,13
5099,26
5013,11
61,1
7196,10
1364,41
3109,38
4080,10
7060,2
531,38
333,25
4257,25
3025,11
2964,25
6274,38
888,12
2948,23
7756,10
1467,2
7399,1
2930,25
5277,13
5817,2
2591,7
3982,2
3347,20
1527,8
3581,4
3556,11
2939,9
7670,9
6332,38
28,31
931,12
6675,6
6845,1
4061,12
7163,2
2168,5
4984,40
6355,10
6804,38
977,25
840,4
560,1
1133,2
5038,9
3258,13
81,38
2909,9
7071,9
6621,1
1562,30
4452,10
101,5
4941,5
3877,25
6060,42
5139,2
6990,17
4656,9
2002,3
6944,12
2889,35
5670,12
1712,9
5011,2
1843,12
5811,38
5467,33
6159,40
6340,28
2439,18
1585,12
6231,7
2288,12
2996,11
5803,5
7839,1
1625,2
3824,13
3499,5
2608,13
6265,9
1568,11
306,12
372,2
2430,11
5149,13
3346,10
1777,1
1757,8
1883,11
3433,2
403,4
476,1
5292,10
7128,1
5245,13
5001,7
4431,10
6205,12
1846,7
1653,4
6166,13
3857,4
2049,32
4363,10
1369,12
6487,35
5343,23
4297,12
916,3
3253,5
312,2
441,10
4742,2
1968,2
6860,1
6881,5
2510,10
3289,13
5549,4
5313,12
3718,38
6033,9
7637,2
2090,4
7197,15
5221,11
1180,38
2463,8
2936,12
4255,8
1888,25
3662,12
1001,3
7505,9
757,4
2483,8
3754,35
2573,4
1321,12
1675,1
3438,12
7558,12
7280,34
1324,2
6853,11
6171,30
1492,1
1256,5
3791,7
3873,26
1576,8
88,25
1365,5
2908,12
3848,2
7803,1
1746,3
107,1
2567,2
4622,3
1302,26
4014,17
3503,25
6815,13
7702,33
4466,17
3146,7
2276,10
2519,10
7203,12
2931,35
5952,5
6820,12
7508,2
3731,1
4510,4
1441,4
2355,38
2759,18
4449,40
5881,25
2371,26
231,11
5900,5
87,32
4191,6
6114,4
3304,2
6238,35
1157,10
3893,25
1192,2
7320,11
1589,10
1378,5
7432,22
4019,9
2554,38
5738,1
3679,12
19,38
5155,2
6059,10
583,10
4420,40
7481,9
1066,31
3540,7
1507,12
3354,7
2152,2
4109,10
1220,33
4929,5
4268,25
1384,2
5455,25
7365,18
7553,38
3457,35
5355,12
1414,35
889,11
3728,4
3336,1
6110,35
2264,1
4580,38
5807,2
1895,26
1428,33
2954,1
1787,8
5416,11
1958,3
2138,1
1423,18
1759,8
5868,25
3463,13
5994,2
6406,10
6111,30
5496,13
3193,8
6084,40
4434,25
6199,5
6731,1
6321,20
5668,11
7478,10
2564,25
4187,10
2357,11
2150,35
6940,17
3502,35
6739,17
5171,12
3031,11
2787,4
1836,10
1873,2
4096,10
4882,20
4362,4
6528,6
47,12
866,13
1006,9
5164,25
5750,1
1940,38
6141,25
2569,25
3883,38
6294,4
3051,2
5694,1
7281,10
7252,18
5278,18
426,20
3399,4
2769,12
11,25
6178,25
1996,25
5080,25
7204,35
555,7
3267,12
2182,13
5661,4
2702,11
3200,10
3212,13
3027,2
5944,1
5815,1
5298,17
6875,4
3283,7
6638,10
7655,2
2849,34
4613,25
1194,1
417,11
1597,2
3634,1
764,13
4270,25
1383,25
5848,1
345,25
6314,1
173,10
6763,7
7142,25
2775,12
6527,1
4139,10
3016,9
5707,38
1406,25
4780,13
989,18
1748,18
7346,38
5517,12
6271,15
3437,9
2457,3
2800,12
4395,5
513,31
92,3
3013,9
5137,10
1300,23
786,2
3456,10
1848,13
141,35
6247,4
7770,38
7779,25
988,2
429,38
5314,13
1864,7
550,7
2469,13
4543,12
3951,2
140,11
2343,4
6615,5
380,3
3197,2
2978,10
5785,13
671,2
7148,10
1145,25
6315,12
785,13
830,10
6261,2
1680,1
7466,2
7357,9
5184,17
669,11
7525,10
6212,18
2801,17
4050,40
7173,11
2562,35
5841,12
2633,26
711,12
1086,8
6389,18
1812,11
6062,38
6901,7
2837,11
7674,4
4938,28
6240,25
2920,8
1415,34
4166,35
7406,2
7682,8
6211,8
7451,26
1344,5
4123,5
1495,25
7356,9
4259,10
5378,14
2351,10
353,21
3227,38
6498,34
7516,2
3181,8
3725,12
1543,1
868,17
5713,1
3561,11
5103,7
5618,35
1861,5
5089,9
2416,5
1642,25
6659,1
5662,40
5754,38
2244,10
6566,13
3201,35
1667,5
4116,25
5075,31
1057,2
4012,2
4056,10
6582,11
4220,1
1697,10
519,2
5127,10
2302,25
2611,3
4758,38
5818,26
6127,11
2993,10
6495,12
7791,15
1948,1
1455,9
5799,6
7810,14
4861,4
3374,4
1283,25
5857,4
4448,5
3551,10
1207,18
1790,25
6216,12
3994,18
3278,12
6266,17
6584,7
6000,38
5357,38
5479,38
7584,10
1536,35
317,35
6071,9
2953,8
7283,35
7496,38
3095,3
6623,10
2208,4
2273,13
6206,31
5056,10
959,11
7000,7
7078,31
5926,31
3467,17
1083,25
7305,31
5285,20
7754,6
6824,21
4945,28
7498,2
2726,10
4626,14
7689,1
6052,26
2265,10
2615,2
1541,2
1641,5
1902,38
1727,10
4328,33
6799,8
4530,25
1825,12
1240,17
6040,13
7390,8
5721,1
3755,26
5475,12
1619,1
5288,25
4655,38
708,13
2518,18
4549,25
5572,11
974,12
6239,5
5040,11
1368,7
1288,25
2112,9
7347,13
3019,38
2070,11
255,3
634,10
4367,2
7805,2
3996,1
793,2
1487,39
4357,1
5364,12
3880,4
7486,12
7531,25
2024,1
7488,11
6410,11
7290,18
138,38
6456,1
2328,17
2641,20
183,38
739,25
1726,13
5824,2
1832,38
2665,34
2459,23
5717,13
2261,10
4846,9
251,25
5051,25
5460,10
910,10
1184,1
2788,3
2760,1
2750,10
6351,17
6316,8
4654,17
3638,11
3273,38
2674,18
7045,5
1922,10
7272,1
438,12
1246,17
7106,25
3552,5
5751,12
2394,12
3101,2
4848,11
5977,2
5257,9
4473,12
5267,13
6304,2
6982,11
5782,11
7092,17
6210,12
6422,2
4098,2
5595,9
7202,4
4136,31
4685,5
4491,3
4125,8
3635,4
5590,1
3159,8
760,5
4020,12
3300,12
2925,19
1319,38
3790,1
2199,10
2942,2
1964,5
2218,18
4952,9
1394,11
3161,38
1169,15
